name,latitude,longitude
Zewen-Oberkirch,49.71,6.58
Zewen,49.71,6.57
Zeven,53.29,9.27
Zeuzleben,49.97,10.07
Zeutsch,50.75,11.50
Zeuthen,52.36,13.61
Zeutern,49.17,8.67
Zeust,52.13,14.26
Zeunitz,51.21,12.81
Zeulsdorf,50.84,12.04
Zeulenroda,50.65,11.98
Zeulenreuth,49.88,11.76
Zeughaus,50.44,12.50
Zeuendorf,51.64,12.03
Zeuden,52.02,12.73
Zeuckritz,51.39,13.06
Zeuchfeld,51.23,11.82
Zeublitz,50.13,11.20
Zeubelried,49.68,10.08
Zeubach,49.84,11.37
Zetzsch,51.16,12.10
Zettweil,51.00,12.25
Zettmeisel,50.03,11.58
Zettmannsdorf,49.86,10.65
Zettlitz,51.06,12.83
Zettlitz,50.19,11.47
Zettlitz,50.11,11.76
Zettlitz,49.99,11.59
Zettlitz,49.77,11.85
Zettlarsgrün,50.37,12.03
Zettl,48.22,12.18
Zettisch,49.24,12.84
Zettingen,50.23,7.2
Zetteritz,51.02,12.88
Zettemin,53.64,12.83
Zettelsdorf,49.87,10.76
Zetta,51.11,13.33
Zetschdorf,51.00,12.14
Zethlingen,52.70,11.29
Zethau,50.77,13.38
Zetel,53.41,7.98
Zessmannsrieth,49.66,12.27
Zessin,54.52,13.31
Zessau,49.79,11.92
Zeselberg,49.33,7.60
Zeschwitz,51.19,12.92
Zeschnig,50.99,14.08
Zeschdorf,51.58,12.13
Zescha,51.28,14.31
Zesch,52.11,13.52
Zerzabelshof,49.44,11.12
Zersen,52.18,9.29
Zerrenthin,53.49,14.08
Zerre,51.53,14.38
Zerpenschleuse,52.85,13.52
Zernsdorf,52.30,13.69
Zernitz,52.88,12.36
Zernitz,52.01,12.08
Zernin,53.79,11.92
Zernikow,52.96,12.07
Zernien,53.06,10.88
Zernickow,53.39,13.73
Zernikow,53.09,13.09
Zernickow,52.52,14.37
Zerna,51.28,14.23
Zermützel,53.00,12.83
Zermüllen,50.29,6.91
Zerkwitz,51.86,13.93
Zerkall,50.69,6.45
